time,speed,gear,rpm,gas,brake
1779503628.236693,8.355696678161621,2,859,0.0,0.2991499900817871
1779503630.7564495,8.291910171508789,2,872,0.0,0.0
1779503630.8141723,8.445272445678711,2,883,0.0,0.0
1779503630.867681,8.525404930114746,2,884,0.0,0.0
1779503630.922397,8.625202178955078,2,896,0.0,0.0
1779503630.9732404,8.751612663269043,2,907,0.0,0.0
1779503631.0240693,8.868500709533691,2,919,0.0,0.0
1779503631.075465,8.969560623168945,2,931,0.0,0.0
1779503631.1264024,9.076807022094727,2,945,0.0,0.0
1779503631.1777475,9.187138557434082,2,957,0.0,0.0
1779503631.2287798,9.302565574645996,2,969,0.0,0.0
1779503631.28026,9.412155151367188,2,980,0.0,0.0
1779503631.331467,9.522624969482422,2,991,0.0,0.0
1779503631.382805,9.632425308227539,2,1003,0.0,0.0
1779503631.4337404,9.741815567016602,2,1014,0.0,0.0
1779503631.4848409,9.8511381149292,2,1025,0.0,0.026000022888183594
1779503631.5360577,9.806381225585938,2,1019,0.0,0.08820000290870667
1779503631.5873978,9.703575134277344,2,1009,0.0,0.0734499990940094
1779503631.6385238,9.649709701538086,2,1004,0.0,0.03824999928474426
1779503631.6894321,9.735694885253906,2,1016,0.0,0.0
1779503631.7406945,9.851194381713867,2,1027,0.0,0.0
1779503631.7918115,9.960346221923828,2,1037,0.0,0.0
1779503631.8428864,10.068166732788086,2,1048,0.0,0.0
1779503631.8937624,10.177796363830566,2,1060,0.18810001015663147,0.0
1779503631.9449084,10.350444793701172,2,1084,0.44394999742507935,0.0
1779503631.9962459,10.687443733215332,2,1146,0.79830002784729,0.0
1779503632.0474114,11.401765823364258,2,1213,1.0,0.0
1779503632.0983472,12.20138168334961,2,1293,1.0,0.0
1779503632.1496632,12.996313095092773,2,1374,1.0,0.0
1779503632.2007017,13.78677749633789,2,1459,1.0,0.0
1779503632.2520142,14.625131607055664,2,1548,1.0,0.0
1779503632.3030326,15.41765308380127,2,1631,1.0,0.0
1779503632.3543842,16.209726333618164,2,1714,1.0,0.0
1779503632.4052546,17.00103759765625,2,1798,1.0,0.0
1779503632.4564993,17.791826248168945,2,1881,1.0,0.0
1779503632.5076125,18.58210563659668,2,1965,1.0,0.0
1779503632.5586822,19.372228622436523,2,2048,1.0,0.0
1779503632.6097364,20.161727905273438,2,2131,1.0,0.0
1779503632.6604886,20.95073127746582,2,2214,1.0,0.0
1779503632.7116373,21.739240646362305,2,2297,1.0,0.0
1779503632.7633252,22.52723503112793,2,2380,1.0,0.0
1779503632.814315,23.315044403076172,2,2463,1.0,0.0
1779503632.8655348,24.10163116455078,2,2545,1.0,0.0
1779503632.9167924,24.883909225463867,2,2628,1.0,0.0
1779503632.9678676,25.665958404541016,2,2711,1.0,0.0
1779503633.0190115,26.447784423828125,2,2793,1.0,0.0
1779503633.0700364,27.228620529174805,2,2875,1.0,0.0
1779503633.1212149,28.00928497314453,2,2957,1.0,0.0
1779503633.1722736,28.789203643798828,2,3039,1.0,0.0
1779503633.2231565,29.56873321533203,2,3121,1.0,0.0
1779503633.2739127,30.3474063873291,2,3203,1.0,0.0
1779503633.3251193,31.125835418701172,2,3285,1.0,0.0
1779503633.3762572,31.902891159057617,2,3366,1.0,0.0
1779503633.42728,32.67936706542969,2,3448,1.0,0.0
1779503633.4782104,33.455074310302734,2,3530,1.0,0.0
1779503633.5293877,34.2305908203125,2,3611,1.0,0.0
1779503633.5805306,35.005577087402344,2,3693,1.0,0.0
1779503633.6316524,35.77922058105469,2,3774,1.0,0.0
1779503633.6827302,36.553619384765625,2,3855,1.0,0.0
1779503633.7340112,37.37278366088867,2,3941,1.0,0.0
1779503633.7849784,38.14453125,2,4023,1.0,0.0
1779503633.836155,38.93242645263672,2,4109,1.0,0.0
1779503633.887258,39.7482795715332,2,4200,1.0,0.0
1779503633.9385393,40.60055923461914,2,4292,1.0,0.0
1779503633.9896617,41.48768997192383,2,4391,1.0,0.0
1779503634.0406585,42.416656494140625,2,4494,1.0,0.0
1779503634.0914786,43.38875198364258,2,4600,1.0,0.0
1779503634.1429107,44.389190673828125,2,4707,1.0,0.0
1779503634.1940176,45.416099548339844,2,4821,1.0,0.0
1779503634.244816,46.47797393798828,2,4936,1.0,0.0
1779503634.296258,47.571712493896484,2,5058,1.0,0.0
1779503634.3470902,48.69326400756836,2,5182,1.0,0.0
1779503634.3978667,49.84504318237305,2,5306,1.0,0.0
1779503634.4491196,51.02141571044922,2,5439,1.0,0.0
1779503634.500066,52.243038177490234,2,5571,1.0,0.0
1779503634.5511057,53.507713317871094,2,5715,1.0,0.0
1779503634.6032505,54.82680892944336,2,5866,1.0,0.0
1779503634.6542537,56.2010612487793,2,6028,1.0,0.0
1779503634.705397,56.59739685058594,2,7649,1.0,0.0
1779503634.7566485,56.527828216552734,2,9861,1.0,0.0
1779503634.807644,56.47138214111328,2,12114,1.0,0.0
1779503634.8587031,56.41460037231445,3,13002,1.0,0.0
1779503634.9098384,56.35354995727539,3,14443,1.0,0.0
1779503634.9609988,56.296329498291016,3,14839,1.0,0.0
1779503635.0122404,56.23868179321289,3,14806,1.0,0.0
1779503635.0635507,57.83447265625,3,9681,1.0,0.0
1779503635.1147578,59.687400817871094,3,9648,1.0,0.0
1779503635.165867,61.568294525146484,3,9635,1.0,0.0
1779503635.2170556,63.50129699707031,3,9632,1.0,0.0
1779503635.2684574,65.42321014404297,3,9677,1.0,0.0
1779503635.3282707,67.63323211669922,3,9818,1.0,0.0
1779503635.379508,69.53254699707031,3,9954,1.0,0.0
1779503635.4307075,71.52023315429688,3,10051,1.0,0.0
1779503635.4817746,73.4188232421875,3,10221,1.0,0.0
1779503635.5326931,75.38581848144531,3,10325,1.0,0.0
1779503635.5839953,77.35356140136719,3,10447,1.0,0.0
1779503635.6352558,79.27648162841797,3,10585,1.0,0.0
1779503635.6863744,81.32073211669922,3,10647,1.0,0.0
1779503635.7376435,83.26750183105469,3,10792,1.0,0.0
1779503635.7887118,85.26799774169922,3,10889,1.0,0.0
1779503635.8396873,87.32572174072266,3,10948,1.0,0.0
1779503635.8905866,89.31393432617188,3,11062,1.0,0.0
1779503635.9416823,91.32689666748047,3,11140,1.0,0.0
1779503635.992926,93.50382995605469,3,11186,1.0,0.0
1779503636.0440834,95.47138977050781,3,11284,1.0,0.0
1779503636.0953786,97.48738098144531,3,11335,1.0,0.0
1779503636.146503,99.53014373779297,3,11359,1.0,0.0
1779503636.1975343,101.52434539794922,3,11423,1.0,0.0
1779503636.2489207,103.50064849853516,3,11486,1.0,0.0
1779503636.3003278,105.56639862060547,3,11482,1.0,0.0
1779503636.3512998,107.68827056884766,3,11448,1.0,0.0
1779503636.402504,109.74093627929688,3,11469,1.0,0.0
1779503636.4537,111.98110961914062,3,11365,1.0,0.0
1779503636.5047061,114.21414947509766,3,11281,1.0,0.0
1779503636.5558946,116.46720123291016,3,11193,1.0,0.0
1779503636.6069033,118.62821197509766,3,11185,1.0,0.0
1779503636.6580718,120.68850708007812,3,11238,1.0,0.0
1779503636.7090302,122.8630142211914,3,11198,1.0,0.0
1779503636.7603116,125.14691925048828,3,11104,1.0,0.0
1779503636.8114102,127.29910278320312,3,11143,1.0,0.0
1779503636.8625581,129.24996948242188,3,11320,1.0,0.0
1779503636.9137368,131.14157104492188,3,11525,1.0,0.0
1779503636.96478,133.11451721191406,3,11653,1.0,0.0
1779503637.0157464,135.20713806152344,3,11791,1.0,0.0
1779503637.067111,137.18292236328125,3,11913,1.0,0.0
1779503637.1182363,139.10643005371094,3,12065,1.0,0.0
1779503637.169006,141.00274658203125,3,12171,1.0,0.0
1779503637.2199461,142.77821350097656,3,12301,1.0,0.0
1779503637.2709272,144.45274353027344,3,12419,1.0,0.0
1779503637.322285,146.0639190673828,3,12524,1.0,0.0
1779503637.3735027,147.55245971679688,3,12645,1.0,0.0
1779503637.4247081,148.99295043945312,3,12735,1.0,0.0
1779503637.4758115,150.3367919921875,3,12839,1.0,0.0
1779503637.5270166,151.6167755126953,3,12927,1.0,0.0
1779503637.5783966,152.8383026123047,3,13009,1.0,0.0
1779503637.6294708,154.00363159179688,3,13096,1.0,0.0
1779503637.6805563,155.1499786376953,3,13182,1.0,0.0
1779503637.731937,156.26132202148438,3,13274,1.0,0.0
1779503637.783124,157.35018920898438,3,13357,1.0,0.0
1779503637.834117,158.411865234375,3,13440,1.0,0.0
1779503637.8854158,159.44625854492188,3,13522,1.0,0.0
1779503637.9364111,160.45281982421875,3,13607,1.0,0.0
1779503637.9872453,161.4528350830078,3,13685,1.0,0.0
1779503638.038471,162.40528869628906,3,13778,1.0,0.0
1779503638.0896277,163.37864685058594,3,13844,1.0,0.0
1779503638.1405578,164.2818145751953,3,13942,1.0,0.0
1779503638.1919267,165.22862243652344,3,13995,1.0,0.0
1779503638.242952,166.1540985107422,3,14090,1.0,0.0
1779503638.294056,167.05172729492188,3,14131,1.0,0.0
1779503638.3449733,167.84466552734375,1,14016,1.0,0.0
1779503638.3963213,169.23040771484375,4,12392,1.0,0.0
1779503638.44721,170.69032287597656,4,12408,1.0,0.0
1779503638.4984498,171.9464111328125,4,12496,1.0,0.0
1779503638.5500154,173.2160186767578,4,12570,1.0,0.0
1779503638.6011171,174.3855438232422,4,12652,1.0,0.0
1779503638.652183,175.5728759765625,4,12712,1.0,0.0
1779503638.7031412,176.64292907714844,4,12794,1.0,0.0
1779503638.7543755,177.7391357421875,4,12847,1.0,0.0
1779503638.8054926,178.72708129882812,4,12924,1.0,0.0
1779503638.8564887,179.75399780273438,4,12968,1.0,0.0
1779503638.9075933,180.77549743652344,4,13011,1.0,0.0
1779503638.9586499,181.64956665039062,4,13079,1.0,0.0
1779503639.0097992,182.54623413085938,4,13163,1.0,0.0
1779503639.061051,183.45538330078125,4,13223,1.0,0.0
1779503639.1122963,184.3411865234375,4,13282,1.0,0.0
1779503639.1636353,185.22727966308594,4,13340,1.0,0.0
1779503639.214523,186.0818634033203,4,13399,1.0,0.0
1779503639.2655845,186.94168090820312,4,13454,1.0,0.0
1779503639.3169227,187.8188018798828,4,13523,1.0,0.0
1779503639.3679347,188.6521453857422,4,13574,1.0,0.0
1779503639.4189117,189.4792022705078,4,13623,1.0,0.0
1779503639.4701507,189.92593383789062,5,12158,1.0,0.0
1779503639.5214953,191.93101501464844,5,11692,1.0,0.0
1779503639.572337,193.2637176513672,5,11781,1.0,0.0
1779503639.6234648,194.6198272705078,5,11852,1.0,0.0
1779503639.6745307,195.94029235839844,5,11950,1.0,0.0
1779503639.7256367,197.29847717285156,5,12018,1.0,0.0
1779503639.7768228,198.59646606445312,5,12097,1.0,0.0
1779503639.8278272,199.8744659423828,5,12153,1.0,0.0
1779503639.879141,201.0907440185547,5,12230,1.0,0.0
1779503639.930374,202.27720642089844,5,12281,1.0,0.0
1779503639.9812336,203.37899780273438,5,12362,1.0,0.0
1779503640.0326867,204.47886657714844,5,12407,1.0,0.0
1779503640.0841188,205.4983367919922,5,12474,1.0,0.0
1779503640.1351707,206.50576782226562,5,12525,1.0,0.0
1779503640.1862483,207.45623779296875,5,12573,1.0,0.0
1779503640.2369485,208.3553924560547,5,12637,1.0,0.0
1779503640.2876532,209.2653350830078,5,12665,1.0,0.0
1779503640.3390167,210.1209716796875,5,12721,1.0,0.0
1779503640.3899994,211.00332641601562,5,12755,1.0,0.0
1779503640.4414163,211.849853515625,5,12797,1.0,0.0
1779503640.4924107,212.6763153076172,5,12846,1.0,0.0
1779503640.5434196,213.49441528320312,5,12880,1.0,0.0
1779503640.5944762,214.22523498535156,5,12914,1.0,0.11140000820159912
1779503640.645515,213.91671752929688,5,12776,0.9544999599456787,0.5191500186920166
1779503640.6964424,211.35983276367188,5,12439,0.5835000276565552,0.7458999752998352
1779503640.7475107,207.4941864013672,5,12131,0.17765000462532043,0.6827999949455261
1779503640.7989068,203.19749450683594,5,11791,0.0,0.7634999752044678
1779503640.8497338,197.9280242919922,5,11380,0.0,0.871749997138977
1779503640.9004204,192.95263671875,5,11084,0.0,0.8854999542236328
1779503640.9518924,187.27294921875,5,10706,0.0,0.9399499893188477
1779503641.0028713,181.7286376953125,5,10366,0.0,0.9463499784469604
1779503641.0541036,176.32742309570312,5,10083,0.0,0.929099977016449
1779503641.1055017,171.0390625,5,9771,0.0,0.9075000286102295
1779503641.1565466,165.90699768066406,5,9481,0.0,0.9183000326156616
1779503641.2074053,160.70065307617188,5,9138,0.0,0.9355000257492065
1779503641.258237,155.5223388671875,5,8824,0.0,0.9348999857902527
1779503641.3093,150.31069946289062,5,8497,0.0,0.9513499736785889
1779503641.3604522,145.1537628173828,5,8137,0.0,0.9458500146865845
1779503641.4114602,140.0045623779297,5,7832,0.0,0.9201499819755554
1779503641.4626987,135.05848693847656,5,7526,0.0,0.9190000295639038
1779503641.5136511,130.1027374267578,5,7198,0.0,0.902999997138977
1779503641.564645,125.38105773925781,4,8273,0.800000011920929,0.8311499953269958
1779503641.6157937,120.79708862304688,4,8083,0.0,0.8108999729156494
1779503641.666611,116.44955444335938,4,7822,0.0,0.7799999713897705
1779503641.7176135,112.32744598388672,4,7625,0.0,0.7168999910354614
1779503641.768448,108.5748062133789,3,8743,0.0,0.6624500155448914
1779503641.8196208,105.09597778320312,3,8480,0.0,0.6290500164031982
1779503641.8709216,101.7798843383789,3,8218,0.0,0.618149995803833
1779503641.9217646,98.49346160888672,3,7970,0.0,0.6075000166893005
1779503641.972855,95.342041015625,1,7717,0.0,0.580049991607666
1779503642.0243545,92.09362030029297,2,9119,0.0,0.5871000289916992
1779503642.0752978,88.86803436279297,2,8905,0.0,0.5996999740600586
1779503642.1262686,85.69915008544922,2,8601,0.0,0.61080002784729
1779503642.177539,82.6186752319336,2,8296,0.0,0.5837500095367432
1779503642.2285237,79.6632080078125,2,8007,0.0,0.5715500116348267
1779503642.279396,76.80225372314453,2,7746,0.0,0.5354999899864197
1779503642.330572,74.17881774902344,2,7517,0.0,0.4710000157356262
1779503642.381809,71.89167022705078,2,7311,0.0,0.4180000126361847
1779503642.4328942,69.89031982421875,2,7131,0.0,0.3375999927520752
1779503642.4838989,68.35165405273438,2,7011,0.0,0.2540000081062317
1779503642.5350044,67.11247253417969,2,6893,0.0,0.21819999814033508
1779503642.586133,66.03546905517578,2,6788,0.0,0.19425001740455627
1779503642.6372464,65.06684112548828,2,6698,0.0,0.1620500087738037
1779503642.6883729,64.34666442871094,2,6638,0.0,0.08580002188682556
1779503642.7389631,63.92762756347656,2,6592,0.0,0.0
1779503642.790203,63.61976623535156,2,6560,0.0,0.0
1779503642.841372,63.311763763427734,2,6528,0.0,0.0
1779503642.8928463,63.002567291259766,2,6497,0.0,0.0
1779503642.9438934,62.67903137207031,2,6462,0.0,0.0
1779503642.9953556,62.369850158691406,2,6433,0.0,0.0
1779503643.0463538,62.06454086303711,2,6402,0.0,0.0
1779503643.0975134,61.7639274597168,2,6369,0.0,0.0
1779503643.1486151,61.46394348144531,2,6338,0.0,0.0
1779503643.199759,61.16421890258789,2,6309,0.0,0.0
1779503643.2508507,60.87026596069336,2,6277,0.0,0.0
1779503643.3025587,60.57437515258789,2,6249,0.0,0.0
1779503643.3539274,60.2838020324707,2,6219,0.0,0.0
1779503643.4048011,59.99800491333008,2,6188,0.0,0.0
1779503643.4561667,59.71098709106445,2,6159,0.0,0.0
1779503643.5069892,59.424930572509766,2,6130,0.0,0.0
1779503643.5579042,59.14282989501953,2,6101,0.0,0.0
1779503643.609323,58.86146926879883,2,6074,0.0,0.0
1779503643.6602705,58.58378982543945,2,6045,0.0,0.0
1779503643.7116191,58.310523986816406,2,6016,0.0,0.0
1779503643.7625787,58.035762786865234,2,5988,0.0,0.0
1779503643.8139248,57.68940734863281,2,5953,0.0,0.05870002508163452
1779503643.8651996,57.181453704833984,2,5903,0.0,0.10875001549720764
1779503643.916223,56.580204010009766,2,5835,0.0,0.13670000433921814
1779503643.9673467,55.880882263183594,2,5760,0.0,0.1519000232219696
1779503644.01855,55.122257232666016,2,5679,0.0,0.1647000014781952
1779503644.069541,54.29925537109375,2,5591,0.0,0.18334999680519104
1779503644.1205285,53.37628936767578,2,5490,0.0,0.20900002121925354
1779503644.1728854,52.37052917480469,2,5387,0.0,0.21854999661445618
1779503644.2241173,51.32724380493164,2,5277,0.0,0.23510000109672546
1779503644.2752752,50.18183898925781,2,5153,0.0,0.2678999900817871
1779503644.3261325,48.90096664428711,2,5016,0.0,0.2911500036716461
1779503644.3770325,47.52123260498047,2,4870,0.0,0.31755000352859497
1779503644.4282749,46.03118133544922,2,4714,0.0,0.3386499881744385
1779503644.4793522,44.46104431152344,2,4549,0.0,0.35740000009536743
1779503644.5306816,42.82145309448242,2,4379,0.0,0.37389999628067017
1779503644.5817032,41.106624603271484,2,4200,0.0,0.3930000066757202
1779503644.6327968,39.22695541381836,2,4008,0.0,0.4032000005245209
1779503644.6844404,37.42116928100586,2,3821,0.0,0.41715002059936523
1779503644.7355788,35.57173156738281,2,3634,0.0,0.4231500029563904
1779503644.7863755,33.71574401855469,2,3443,0.0,0.4290499985218048
1779503644.8377793,31.84090232849121,2,3250,0.0,0.43904998898506165
1779503644.8886409,29.924179077148438,2,3054,0.0,0.4499000012874603
1779503644.9397073,28.009544372558594,2,2876,0.0,0.45890000462532043
1779503644.9908826,26.171039581298828,2,2679,0.0,0.4618000090122223
1779503645.0420897,24.32634162902832,2,2488,0.0,0.45559999346733093
1779503645.0932417,22.548908233642578,2,2310,0.0,0.43369999527931213
1779503645.144643,21.948875427246094,2,2252,0.0,0.41815000772476196
